CHAPTER,FILE,SUMMARY,CURRENT_TAGS,PROPOSED_TAGS,TAGS_ADDED,TAGS_REMOVED,RATIONALE_ADDED,APPROVAL_STATUS
02-requisitos-seguranca,sbd-toe/010-sbd-manual/02-requisitos-seguranca/aplicacao-lifecycle.md,"Este anexo prescreve **como aplicar sistematicamente os requisitos definidos no  | Inclui modelos re","ciclo-vida|excecoes|rastreabilidade|requisitos|tipo:aplicacao|validacao","ciclo-vida|excecoes|rastreabilidade|requisitos|tipo-aplicacao|tipo:aplicacao|validacao","tipo-aplicacao","","tipo-aplicacao(73%,rag:Found in 73% of similar docume)",OK
canon,sbd-toe/010-sbd-manual/02-requisitos-seguranca/canon/20-checklist-revisao.md,"Este ficheiro fornece uma lista objetiva e auditável para avaliar se os requisit | > Pode ser utiliz","auditoria|checklist|rastreabilidade|requisitos|validacao","auditoria|checklist|desenvolvimento|rastreabilidade|requisitos|validacao|validação","desenvolvimento|validação","","desenvolvimento(64%,rag:Found in 64% of similar docume); validação(70%,rag:Found in 69% of similar docume)",OK
canon,sbd-toe/010-sbd-manual/02-requisitos-seguranca/canon/25-rastreabilidade.md,"Este ficheiro estabelece a **rastreabilidade entre as práticas de definição; val | > A rastreabilida","DSOMM|ISO|SAMM|SSDF|frameworks|rastreabilidade","DSOMM|ISO|SAMM|SSDF|arquitetura|frameworks|rastreabilidade","arquitetura","","arquitetura(87%,rag+pattern:RAG + keyword pattern agreemen)",OK
canon,sbd-toe/010-sbd-manual/02-requisitos-seguranca/canon/50-ameacas-mitigadas.md,"Este capítulo define o **catálogo base de requisitos de segurança aplicacionais* | As ameaças mitiga","CAPEC|DSOMM|OSC&R|SSDF|ameacas|exceções|mitigacao|rastreabilidade|requisitos|validacao","CAPEC|DSOMM|OSC&R|SSDF|ameacas|exceções|mitigacao","","rastreabilidade|requisitos|validacao","",OK
02-requisitos-seguranca,sbd-toe/010-sbd-manual/02-requisitos-seguranca/intro.md,":::caution Capítulo Basilar | Este capítulo é considerado **basilar** no modelo *Security by Design ","ASVS|DSOMM|SAMM|SSDF|cat_basilar|engenharia-segura|grp_engenharia_segura|proporcionalidade|rastreabilidade|seguranca|tema:requisitos|tipo:prescricao|validacao","ASVS|DSOMM|SAMM|cat_basilar|grp_engenharia_segura|tema:requisitos|tipo:prescricao","","SSDF|engenharia-segura|proporcionalidade|rastreabilidade|seguranca|validacao","",OK
02-requisitos-seguranca,sbd-toe/010-sbd-manual/02-requisitos-seguranca/policies-relevantes.md,"A adoção eficaz do Capítulo 02 - Requisitos de Segurança - exige a existência de | ---","exceções|políticas|rastreabilidade|requisitos|validacao","excecoes|exceções|políticas|rastreabilidade|requisitos|validacao|validação","excecoes|validação","","excecoes(80%,rag:Found in 79% of similar docume); validação(80%,rag:Found in 79% of similar docume)",OK
02-requisitos-seguranca,sbd-toe/010-sbd-manual/02-requisitos-seguranca/rationale-catalogo.md,"A definição dos requisitos aplicacionais neste manual segue uma estrutura em **2 | A estrutura adota","asvs|estrutura|rastreabilidade|requisitos|temas","arquitetura|asvs|cicd|estrutura|rastreabilidade|requisitos|temas","arquitetura|cicd","","arquitetura(60%,pattern:Content keywords match pattern); cicd(60%,pattern:Content keywords match pattern)",OK
02-requisitos-seguranca,sbd-toe/010-sbd-manual/02-requisitos-seguranca/recomendacoes-avancadas.md,"Este anexo apresenta **práticas avançadas não obrigatórias** que podem ser adota | > Estas recomenda","avancado|políticas|rastreabilidade|requisitos|validacao","avancado|avançado|políticas|rastreabilidade|requisitos|validacao|validação","avançado|validação","","avançado(80%,rag:Found in 79% of similar docume); validação(80%,rag:Found in 79% of similar docume)",OK
03-threat-modeling,sbd-toe/010-sbd-manual/03-threat-modeling/achievable-maturity.md,"Este documento estabelece o **grau de alinhamento entre as práticas descritas no | O Threat Modeling","DSOMM|SAMM|SLSA|SSDF|maturidade|threat-modeling","DSOMM|SAMM|SLSA|SSDF|arquitetura|maturidade|threat-modeling","arquitetura","","arquitetura(80%,rag+pattern:RAG + keyword pattern agreemen)",OK
addon,sbd-toe/010-sbd-manual/03-threat-modeling/addon/01-metodologias-e-ferramentas.md,"Fornecer uma visão comparativa e orientada à decisão sobre as principais **metod | - Selecionar o mo","ferramentas|linddun|metodologias|pasta|stride|tooling","ferramentas|linddun|metodologias|pasta|stride|threat-modeling|tooling","threat-modeling","","threat-modeling(86%,rag+pattern:RAG + keyword pattern agreemen)",OK
addon,sbd-toe/010-sbd-manual/03-threat-modeling/addon/06-threat-modeling-ci.md,"Definir como garantir - de forma testável e automatizável - que a atividade de * | - Foi realizada e","automação|cd|ci|devsecops|iriusrisk|threat modeling|validacao","automação|cd|ci|devsecops|iriusrisk|threat modeling|validacao","","","",OK
addon,sbd-toe/010-sbd-manual/03-threat-modeling/addon/07-mapeamento-threats-requisitos.md,"Estabelecer uma abordagem sistemática para mapear ameaças identificadas no *Thre | - Cada ameaça ori","capitulo2|mapeamento|rastreabilidade|requisitos|stride|threats","capitulo2|mapeamento|rastreabilidade|requisitos|stride|threat-modeling|threats","threat-modeling","","threat-modeling(88%,rag+pattern:RAG + keyword pattern agreemen)",OK
addon,sbd-toe/010-sbd-manual/03-threat-modeling/addon/09-validacao-arquitetura.md,"Definir como incorporar o *Threat Modeling* de forma estruturada no processo de  | - A análise de am","arquitetura|rastreabilidade|revisão técnica|threat modeling|validacao","arquitetura|rastreabilidade|revisão técnica|threat modeling|threat-modeling|validacao|validação","threat-modeling|validação","","threat-modeling(89%,rag+pattern:RAG + keyword pattern agreemen); validação(76%,rag:Found in 76% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/03-threat-modeling/addon/10-integracao-iriusrisk.md,"Demonstrar como aplicar os princípios normativos deste capítulo utilizando **pla | Esta integração v","ameacas|capitulo2|integracao|iriusrisk|rastreabilidade|requisitos","ameacas|ameaças|capitulo2|integracao|iriusrisk|rastreabilidade|requisitos","ameaças","","ameaças(80%,rag:Found in 79% of similar docume)",OK
03-threat-modeling,sbd-toe/010-sbd-manual/03-threat-modeling/aplicacao-lifecycle.md,"Este anexo prescreve **como aplicar sistematicamente as práticas de Threat Model | Inclui modelos re","ciclo-vida|mitigacao|rastreabilidade|requisitos|threat-modeling|tipo:aplicacao","arquitetura|ciclo-vida|mitigacao|rastreabilidade|requisitos|threat-modeling|tipo:aplicacao","arquitetura","","arquitetura(82%,rag+pattern:RAG + keyword pattern agreemen)",OK
03-threat-modeling,sbd-toe/010-sbd-manual/03-threat-modeling/exemplo-privacidade.md,"Este exemplo demonstra como aplicar o modelo **LINDDUN** para identificar ameaça | O modelo LINDDUN ","capitulo2|exemplos|linddun|privacidade|threat-modeling","capitulo2|exemplos|linddun|privacidade|rastreabilidade|requisitos|threat-modeling","rastreabilidade|requisitos","","rastreabilidade(50%,rag:Present in similar documents (); requisitos(50%,rag:Present in similar documents ()",OK
03-threat-modeling,sbd-toe/010-sbd-manual/03-threat-modeling/exemplos-aplicacao-stride.md,"Durante a fase de concepção de um novo serviço de autenticação (`auth-service`); | - API REST acessí","dfd|exemplos|mitigacao|stride|threat-modeling","arquitetura|controlo|dfd|exemplos|mitigacao|stride|threat-modeling","arquitetura|controlo","","arquitetura(60%,pattern:Content keywords match pattern); controlo(64%,rag:Found in 64% of similar docume)",OK
03-threat-modeling,sbd-toe/010-sbd-manual/03-threat-modeling/intro.md,":::caution Capítulo Basilar | Este capítulo é considerado **basilar** no modelo *Security by Design ","DSOMM|SAMM|SLSA|SSDF|arquitetura|cat_basilar|engenharia-segura|grp_engenharia_segura|mitigacao|requisitos|risco|stride|threat-modeling","DSOMM|SAMM|SLSA|SSDF|arquitetura|cat_basilar|grp_engenharia_segura","","engenharia-segura|mitigacao|requisitos|risco|stride|threat-modeling","",OK
03-threat-modeling,sbd-toe/010-sbd-manual/03-threat-modeling/recomendacoes-avancadas.md,"Este anexo apresenta **práticas de nível avançado**; não obrigatórias; destinada | > Estas práticas ","automação|avancado|baseline|governanca|sincronização|threat-modeling","automação|avancado|baseline|governanca|governação|sincronização|threat-modeling","governação","","governação(73%,rag:Found in 73% of similar docume)",OK
04-arquitetura-segura,sbd-toe/010-sbd-manual/04-arquitetura-segura/achievable-maturity.md,"Este documento estabelece o **grau de alinhamento entre as práticas descritas no | - **OWASP SAMM**","DSOMM|SAMM|SLSA|SSDF|canon|maturidade","DSOMM|SAMM|SLSA|SSDF|canon|dsomm|maturidade","dsomm","","dsomm(64%,rag:Found in 63% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/04-arquitetura-segura/addon/01-catalogo-requisitos.md,"Embora o Capítulo 2 contenha o **catálogo geral de requisitos aplicacionais**; a | - **Não se aplica","arquitetura|rastreabilidade|requisitos|seguranca|threat-modeling","arquitetura|ciclo-vida|rastreabilidade|requisitos|seguranca|segurança|threat-modeling","ciclo-vida|segurança","","ciclo-vida(64%,rag:Found in 64% of similar docume); segurança(76%,rag:Found in 75% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/04-arquitetura-segura/addon/07-termos-e-glossario-arquitetura.md,"id: termos-e-glossario-arquitetura | title: Glossário Operacional","","ameaças|arquitetura|cicd|dsomm|rastreabilidade|requisitos|threat-modeling","ameaças|arquitetura|cicd|dsomm|rastreabilidade|requisitos|threat-modeling","","ameaças(50%,rag:Present in similar documents (); arquitetura(60%,pattern:Content keywords match pattern); cicd(60%,pattern:Content keywords match pattern); dsomm(48%,rag:Present in similar documents (); rastreabilidade(50%,rag:Present in similar documents (); requisitos(50%,rag:Present in similar documents (); threat-modeling(60%,pattern:Content keywords match pattern)",OK
04-arquitetura-segura,sbd-toe/010-sbd-manual/04-arquitetura-segura/aplicacao-lifecycle.md,"Este anexo prescreve **como aplicar sistematicamente as práticas de Arquitetura  | Inclui modelos re","arquitetura|ciclo-vida|requisitos|seguranca|tipo:aplicacao","arquitetura|ciclo-vida|requisitos|seguranca|segurança|tipo-aplicacao|tipo:aplicacao","segurança|tipo-aplicacao","","segurança(80%,rag:Found in 79% of similar docume); tipo-aplicacao(79%,rag:Found in 78% of similar docume)",OK
canon,sbd-toe/010-sbd-manual/04-arquitetura-segura/canon/20-checklist-revisao.md,"Este checklist aplica-se a todas as aplicações avaliadas segundo os critérios de | Serve como instru","arquitetura|checklist|requisitos|validacao","arquitetura|auditoria|checklist|rastreabilidade|requisitos|validacao|validação","auditoria|rastreabilidade|validação","","auditoria(67%,rag:Found in 67% of similar docume); rastreabilidade(65%,rag:Found in 64% of similar docume); validação(73%,rag:Found in 72% of similar docume)",OK
canon,sbd-toe/010-sbd-manual/04-arquitetura-segura/canon/25-rastreabilidade.md,"Este documento estabelece a **rastreabilidade entre as práticas prescritas neste | > A rastreabilida","arquitetura|dsomm|frameworks|iso|rastreabilidade|samm|slsa|ssdf","arquitetura|dsomm|frameworks|iso|rastreabilidade|samm|slsa","","ssdf","",OK
canon,sbd-toe/010-sbd-manual/04-arquitetura-segura/canon/50-ameacas-mitigadas.md,"Este capítulo define práticas formais de **design; validação e documentação de a | As ameaças mitiga","ameacas|arquitetura|dsomm|oscar|risco|stride","ameacas|ameaças|arquitetura|dsomm|oscar|risco|stride","ameaças","","ameaças(69%,rag:Found in 69% of similar docume)",OK
04-arquitetura-segura,sbd-toe/010-sbd-manual/04-arquitetura-segura/intro.md,":::caution Capítulo Basilar | Este capítulo é considerado **basilar** no modelo *Security by Design ","arquitetura|cat_basilar|engenharia-segura|grp_engenharia_segura|introducao|requisitos|seguranca","arquitetura|cat_basilar|engenharia-segura|grp_engenharia_segura|introducao|requisitos|seguranca","","","",OK
04-arquitetura-segura,sbd-toe/010-sbd-manual/04-arquitetura-segura/policies-relevantes.md,"A adoção eficaz do Capítulo 04 - Arquitetura Segura - exige a existência de **po | ---","arquitetura|governanca|politicas","arquitetura|excecoes|governanca|governação|policy|politicas|políticas","excecoes|governação|policy|políticas","","excecoes(71%,rag:Found in 71% of similar docume); governação(76%,rag:Found in 75% of similar docume); policy(74%,rag:Found in 73% of similar docume); políticas(71%,rag:Found in 71% of similar docume)",OK
04-arquitetura-segura,sbd-toe/010-sbd-manual/04-arquitetura-segura/recomendacoes-avancadas.md,"Este documento complementa as práticas fundamentais do capítulo com recomendaçõe | > As recomendaçõe","arquitetura|avancado|maturidade|sbomm|zero-trust","arquitetura|avancado|avançado|grupo:avancado|maturidade|sbomm|zero-trust","avançado|grupo:avancado","","avançado(71%,rag:Found in 70% of similar docume); grupo:avancado(51%,rag:Present in similar documents ()",OK
05-dependencias-sbom-sca,sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/achievable-maturity.md,"Este documento apresenta o mapeamento entre as práticas descritas no Capítulo 05 | - **OWASP SAMM**","DSOMM|SAMM|SLSA|SSDF|canon|maturidade","DSOMM|SAMM|SLSA|SSDF|canon|dsomm|maturidade","dsomm","","dsomm(70%,rag:Found in 70% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/addon/01-inventario-sbom.md,"Garantir que todas as aplicações têm um **inventário completo; rastreável e vers | - Mitigar riscos ","dependencias|sbom|sca|supply-chain","cat_operacional|cicd|dependencias|engenharia-segura|sbom|sca|supply-chain","cat_operacional|cicd|engenharia-segura","","cat_operacional(63%,rag:Found in 62% of similar docume); cicd(78%,rag+pattern:RAG + keyword pattern agreemen); engenharia-segura(63%,rag:Found in 62% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/addon/02-analise-sca.md,"Assegurar que todas as dependências externas (diretas e transitivas) são analisa | - Componente iden","dependencias|sbom|sca|supply-chain","cat_operacional|cicd|dependencias|engenharia-segura|sbom|sca|supply-chain","cat_operacional|cicd|engenharia-segura","","cat_operacional(61%,rag:Found in 60% of similar docume); cicd(76%,rag+pattern:RAG + keyword pattern agreemen); engenharia-segura(61%,rag:Found in 60% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/addon/03-governanca-libs-terceiros.md,"Estabelecer regras claras e verificáveis para a **utilização; aprovação; substit | > 🚨 Muitos incide","dependencias|governance|sbom|sca|supply-chain","checklist|dependencias|governance|policy|sbom|sca|supply-chain","checklist|policy","","checklist(62%,rag:Found in 62% of similar docume); policy(63%,rag:Found in 63% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/addon/04-integracao-ci-cd.md,"Garantir que as práticas de SBOM; SCA e governaça de dependências são aplicadas  | > 🚀 A automação d","ci-cd|dependencias|sbom|sca|supply-chain","ci-cd|cicd|containers|dependencias|sbom|sca|supply-chain","cicd|containers","","cicd(86%,rag+pattern:RAG + keyword pattern agreemen); containers(70%,rag:Found in 70% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/addon/05-politica-atualizacoes.md,"Estabelecer práticas sistemáticas para a **atualização proativa de bibliotecas e | > ⚠️ Muitas explo","dependencias|policies|sbom|sca|supply-chain","cicd|dependencias|policies|policy|sbom|sca|supply-chain","cicd|policy","","cicd(76%,rag+pattern:RAG + keyword pattern agreemen); policy(80%,rag:Found in 79% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/addon/06-risco-supply-chain.md,"Identificar os principais vetores de ataque na cadeia de fornecimento de softwar | > ⚠️ Os ataques d","dependencias|risks|sbom|sca|supply-chain","avancadas|containers|dependencias|risks|sbom|sca|supply-chain","avancadas|containers","","avancadas(53%,rag:Present in similar documents (); containers(64%,rag:Found in 63% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/addon/07-controle-registos-origem.md,"Assegurar que todas as dependências de terceiros são obtidas a partir de **orige | > ⚠️ O simples at","dependencias|invetario|sbom|sca|supply-chai","cat_operacional|cicd|dependencias|invetario|sbom|sca|supply-chai","cat_operacional|cicd","","cat_operacional(61%,rag:Found in 60% of similar docume); cicd(76%,rag+pattern:RAG + keyword pattern agreemen)",OK
addon,sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/addon/08-rastreabilidade-vulnerabilidades.md,"Garantir que cada vulnerabilidade identificada em componentes de terceiros tem u | > ✅ Esta rastreab","dependencias|rastreabilidade|sbom|sca|supply-chain","arquitetura|dependencias|rastreabilidade|requisitos|sbom|sca|supply-chain","arquitetura|requisitos","","arquitetura(60%,pattern:Content keywords match pattern); requisitos(53%,rag:Present in similar documents ()",OK
addon,sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/addon/09-excecoes-e-aceitacao-risco.md,"Definir um processo formal para lidar com situações em que uma vulnerabilidade d | > 📌 Este mecanism","dependencias|exceptions|sbom|sca|supply-chain","dependencias|excecoes|exceptions|sbom|sca|supply-chain|validação","excecoes|validação","","excecoes(69%,rag:Found in 69% of similar docume); validação(63%,rag:Found in 63% of similar docume)",OK
05-dependencias-sbom-sca,sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/aplicacao-lifecycle.md,"As práticas acompanham a aplicação desde o arranque até ao *post‑release*. | Cada evento é um **trig","ciclo-vida|dependencias|governance|sbom|sca|supply-chain|tipo:aplicacao","ciclo-vida|dependencias|governance|sbom|sca|supply-chain|tipo:aplicacao","","","",OK
canon,sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/canon/20-checklist-revisao.md,"Este checklist aplica-se a todas as aplicações que utilizem bibliotecas de terce | Serve como instru","checklist|controlo|dependencias|sbom|sca|supply-chain","checklist|controlo|dependencias|desenvolvimento|sbom|sca|supply-chain","desenvolvimento","","desenvolvimento(72%,rag:Found in 72% of similar docume)",OK
canon,sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/canon/25-rastreabilidade.md,"Este ficheiro estabelece a **rastreabilidade entre as práticas prescritas neste  | > A rastreabilida","dependencias|dsomm|frameworks|rastreabilidade|sbom|sca|supply-chain","dependencias|dsomm|frameworks|rastreabilidade|sbom|sca|supply-chain","","","",OK
canon,sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/canon/50-ameacas-mitigadas.md,"Este capítulo estabelece práticas de **inventário; validação; rastreabilidade e  | > ⚠️ A ausência d","ameacas|capec|dsomm|mitigacao|oscar|sbom|sca|supply-chain","ameacas|capec|dsomm|mitigacao|oscar|sbom|sca","","supply-chain","",OK
05-dependencias-sbom-sca,sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/intro.md,":::tip Capítulo Operacional | Este capítulo é considerado **operacional** no modelo *Security by Des","cat_operacional|cicd|dependencias|engenharia-segura|governance|grp_engenharia_segura|oss|sbom|sca|supply-chain","cat_operacional|cicd|dependencias|engenharia-segura|governance|grp_engenharia_segura|oss","","sbom|sca|supply-chain","",OK
05-dependencias-sbom-sca,sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/policies-relevantes.md,"A adoção eficaz do Capítulo 05 - Dependências; SBOM e SCA - exige a existência d | ---","dependencias|organizacional|policy|sbom|sca","dependencias|dsomm|organizacional|policy|políticas|sbom|sca","dsomm|políticas","","dsomm(63%,rag:Found in 63% of similar docume); políticas(73%,rag:Found in 73% of similar docume)",OK
05-dependencias-sbom-sca,sbd-toe/010-sbd-manual/05-dependencias-sbom-sca/recomendacoes-avancadas.md,"Este anexo apresenta práticas de segurança reforçadas aplicáveis a contextos com | > 📌 Estas recomen","avancadas|dependencias|maturidade|sbom|sca|supply-chain","avancadas|cicd|dependencias|maturidade|sbom|sca|supply-chain","cicd","","cicd(60%,pattern:Content keywords match pattern)",OK
06-desenvolvimento-seguro,sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/achievable-maturity.md,"Este documento apresenta o grau de alinhamento entre as práticas descritas no Ca | - **OWASP SAMM**","DSOMM|SAMM|SLSA|SSDF|canon|maturidade","DSOMM|SAMM|SLSA|SSDF|canon|dsomm|maturidade","dsomm","","dsomm(72%,rag:Found in 71% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/addon/01-boas-praticas-codigo.md,"> 💡 **Nota prática**: | > Muitas ferramentas de análise estática e linters modernos - como ESLint; P","boas práticas|desenvolvimento|requisitos|secure coding|seguranca","boas práticas|desenvolvimento|requisitos|secure coding|seguranca|segurança|validação","segurança|validação","","segurança(73%,rag:Found in 72% of similar docume); validação(61%,rag:Found in 61% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/addon/02-linters-validacoes.md,"> 💡 **Nota prática**: | > A maior parte das linguagens e frameworks modernas já possui **linters e v","IDE|automação|linters|pre-commit|seguranca|validacao","IDE|automação|linters|pre-commit|seguranca|validacao|validação","validação","","validação(71%,rag:Found in 70% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/addon/03-seguranca-dependencias.md,"> 💡 **Nota prática**: | > Ferramentas como **Snyk**; **OWASP Dependency-Check**; **Sonatype**; **Xyg","dependências|gestão|sbom|seguranca|validacao","dependencias|dependências|gestão|sbom|seguranca|segurança|validacao","dependencias|segurança","","dependencias(73%,rag:Found in 73% of similar docume); segurança(69%,rag:Found in 69% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/addon/05-excecoes-e-justificacoes.md,"> 💡 **Nota prática**: | > Em qualquer equipa ou projeto; haverá situações onde **nem todas as prátic","exceções|rastreabilidade|risco|seguranca|validacao","excecoes|exceções|rastreabilidade|risco|seguranca|segurança|validacao","excecoes|segurança","","excecoes(66%,rag:Found in 66% of similar docume); segurança(63%,rag:Found in 63% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/addon/07-guidelines-equipa.md,"> 💡 **Nota prática**: | > A disseminação de práticas seguras de desenvolvimento depende não só de re","alinhamento|equipa|guidelines|práticas seguras|seguranca","alinhamento|ciclo-vida|equipa|guidelines|práticas seguras|seguranca|segurança","ciclo-vida|segurança","","ciclo-vida(52%,rag:Present in similar documents (); segurança(71%,rag:Found in 70% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/addon/08-validacoes-codigo.md,"> 💡 **Nota prática**: | > Ferramentas como **SonarQube**; **Checkmarx**; **Kiuwan**; **Semgrep**; **","automação|código|integração contínua|seguranca|validacao","automação|código|integração contínua|seguranca|segurança|validacao|validação","segurança|validação","","segurança(70%,rag:Found in 70% of similar docume); validação(71%,rag:Found in 71% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/addon/09-anotacoes-evidencia.md,"> 💡 **Nota prática**: | > Ferramentas como **GitHub**; **GitLab**; **Xygeni**; **SonarQube**; **Semg","SDLC|anotação|evidência|rastreabilidade|validacao","SDLC|anotação|ciclo-vida|evidência|rastreabilidade|validacao|validação","ciclo-vida|validação","","ciclo-vida(70%,rag:Found in 70% of similar docume); validação(68%,rag:Found in 68% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/addon/10-genia-e-seguranca.md,"A integração de ferramentas de inteligência artificial generativa (GenIA) como * | Estas ferramentas","ai|código gerado|genia|revisão|seguranca|validacao","ai|checklist|código gerado|genia|revisão|seguranca|validacao","checklist","","checklist(80%,rag:Found in 79% of similar docume)",OK
06-desenvolvimento-seguro,sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/aplicacao-lifecycle.md,"O desenvolvimento seguro não é um exercício teórico ou uma “boa prática” vaga: e | Neste documento m","ciclo-vida|codificacao-segura|desenvolvimento|tipo:aplicacao|user-stories|validacao","cicd|ciclo-vida|codificacao-segura|desenvolvimento|tipo:aplicacao|user-stories|validacao","cicd","","cicd(82%,rag+pattern:RAG + keyword pattern agreemen)",OK
canon,sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/canon/20-checklist-revisao.md,"Este checklist aplica-se a todas as aplicações sujeitas às práticas definidas no | Serve como instru","auditoria|checklist|conformidade|desenvolvimento|validacao","auditoria|checklist|conformidade|dependencias|desenvolvimento|validacao|validação","dependencias|validação","","dependencias(77%,rag:Found in 77% of similar docume); validação(73%,rag:Found in 73% of similar docume)",OK
canon,sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/canon/25-rastreabilidade.md,"Este ficheiro estabelece a **rastreabilidade entre as práticas prescritas neste  | > A rastreabilida","DSOMM|SAMM|SSDF|desenvolvimento|frameworks|rastreabilidade","DSOMM|SAMM|SSDF|arquitetura|desenvolvimento|frameworks|rastreabilidade","arquitetura","","arquitetura(87%,rag+pattern:RAG + keyword pattern agreemen)",OK
canon,sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/canon/50-ameacas-mitigadas.md,"Este capítulo prescreve práticas de **codificação segura; validações automatizad | > 🎯 As ameaças mi","GenAI|ameacas|codificação segura|desenvolvimento|mitigacao|validacao","GenAI|ameacas|ameaças|codificação segura|desenvolvimento|mitigacao|validacao","ameaças","","ameaças(72%,rag:Found in 72% of similar docume)",OK
06-desenvolvimento-seguro,sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/intro.md,":::caution Capítulo Basilar | Este capítulo é considerado **basilar** no modelo *Security by Design ","SAST|cat_basilar|desenvolvimento|governanca|grp_implementacao_automacao|guidelines de código|implementacao-automacao|linters|seguranca","SAST|cat_basilar|desenvolvimento|governanca|grp_implementacao_automacao|guidelines de código|implementacao-automacao","","linters|seguranca","",OK
06-desenvolvimento-seguro,sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/policies-relevantes.md,"A aplicação eficaz do Capítulo 06 - Desenvolvimento Seguro - requer a existência | Estas políticas g","GenAI|codificação segura|desenvolvimento|exceções|políticas|validacao","GenAI|codificação segura|desenvolvimento|excecoes|exceções|políticas|validacao","excecoes","","excecoes(73%,rag:Found in 73% of similar docume)",OK
06-desenvolvimento-seguro,sbd-toe/010-sbd-manual/06-desenvolvimento-seguro/recomendacoes-avancadas.md,"Este ficheiro apresenta um conjunto de práticas avançadas que **complementam e r | São especialmente","DevSecOps|desenvolvimento|maturidade|práticas avançadas|validacao","DevSecOps|desenvolvimento|devsecops|maturidade|práticas avançadas|validacao|validação","devsecops|validação","","devsecops(73%,rag:Found in 72% of similar docume); validação(74%,rag:Found in 73% of similar docume)",OK
07-cicd-seguro,sbd-toe/010-sbd-manual/07-cicd-seguro/achievable-maturity.md,"Este documento apresenta o mapeamento entre as práticas descritas no Capítulo 07 | - **OWASP SAMM**","DSOMM|SAMM|SLSA|SSDF|canon|maturidade","DSOMM|SAMM|SLSA|SSDF|canon|cicd|maturidade","cicd","","cicd(78%,rag+pattern:RAG + keyword pattern agreemen)",OK
addon,sbd-toe/010-sbd-manual/07-cicd-seguro/addon/00-gestao-segura-codigo-fonte.md,"A segurança do pipeline começa **antes da execução automatizada** - começa no re | > Um pipeline bem","branches|cicd|código-fonte|pipelines|revisão|scm","branches|checklist|cicd|código-fonte|pipelines|revisão|scm","checklist","","checklist(74%,rag:Found in 74% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/07-cicd-seguro/addon/01-design-seguro-pipelines.md,"O design seguro dos pipelines CI/CD é um controlo fundamental para garantir que  | > A integridade d","automação|cicd|pipelines|revisão|triggers|yaml","automação|checklist|cicd|pipelines|revisão|triggers|yaml","checklist","","checklist(78%,rag:Found in 77% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/07-cicd-seguro/addon/02-seguranca-codigo-pipeline.md,"A segurança da entrega contínua depende da capacidade de **detetar automaticamen | > Nenhum código d","cicd|linters|pipelines|scripts|seguranca|validacao","cicd|linters|pipelines|scripts|seguranca|validacao|validação","validação","","validação(77%,rag:Found in 76% of similar docume)",OK
addon,sbd-toe/010-sbd-manual/07-cicd-seguro/addon/03-gestao-segredos-pipeline.md,"A gestão de segredos nos pipelines CI/CD é um dos vetores de ataque mais crítico | Esta prática defi","cicd|pipelines|segredos|seguranca|variáveis|vault","cicd|pipelines|segredos|seguranca|segurança|variáveis|vault","segurança","","segurança(75%,rag:Found in 74% of similar docume)",OK
